,,,,,,,Equivalent Rice Yield,,
,2000-2021,2022-2035,2036-2050,SD(2000-2021),SD(2021-2035),SD(2036-2050),2000-2021,2022-2035,2036-2050
Rice, 2.68 , 2.55 , 2.52 , 0.28 , 0.22 , 0.24 , 2.68 , 2.55 , 2.52 
Wheat, 3.29 , 2.91 , 2.64 , 0.55 , 0.72 , 0.50 , 3.53 , 3.12 , 2.84 
Equivalent Rice Yield, 6.21 , 5.68 , 5.35 ,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,Equivalent Rice Yield,,
,2000-2021,2022-2035,2036-2050,SD(2000-2021),SD(2000-2021),SD(2000-2021),2000-2021,2022-2035,2036-2050
Tomato,1.30,0.50,0.80,0.90,0.50,0.80,1.89,0.73,1.16
Rice,2.70,2.50,2.57,0.20,0.18,0.31,2.70,2.50,2.57
Spring Rice,3.80,2.30,2.18,0.30,0.40,0.47,3.80,2.30,2.18
Equivalent Rice Yield, 8.39 , 5.53 , 5.91 ,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,Equivalent Rice Yield,,
, 2000-2021 , 2022-2035 , 2036-2050 , SD(2000-2021) , SD(2021-2035) , SD(2036-2050) , 2000-2021 , 2022-2035 , 2036-2050 
Lentil , 1.70 , 1.30 , 1.00 , 0.46 , 0.33 , 0.23 , 4.55 , 3.45 , 2.77 
Rice, 3.68 , 3.33 , 3.68 , 0.23 , 0.21 , 0.19 , 3.68 , 3.33 , 3.68 
Wheat, 3.92 , 3.01 , 2.69 ,0.548201448,0.606005081,0.384424496,4.215122517,3.234208929,2.889843647
Equivalent Rice Yield,12.45362021,10.01783098,9.339782088,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,Equivalent Rice Yield,,
,2000-2021,2022-2035,2036-2050,SD(2000-2021),SD(2000-2021),SD(2000-2021),2000-2021,2022-2035,2036-2050
Maize,3.42,1.93,1.98,0.42,0.50,0.50,3.13,1.77,1.80
Rice,3.68,3.33,3.68,0.23,0.21,0.19,3.68,3.33,3.68
Wheat, 3.92 , 3.01 , 2.69 ,0.548201448,0.606005081,0.384424496,4.215122517,3.234208929,2.889843647
Equivalent Rice Yield,11.02606579,8.332345379,8.379595496,,,,,,
