Month,Pcp,MaxT,AvgT,MinT
Jan,132,12.53206452,7.625741935,2.719516129
Feb,107,15.66882759,7.983103448,0.297482759
Mar,219,15.24422581,10.26154839,5.278774194
Apr,158,18.05976667,12.53673333,7.013866667
May,163,26.78493548,21.06703226,15.34922581
Jun,72,30.84506667,25.07493333,19.30476667
Jul,112,31.81819355,26.8216129,21.82525806
Aug,87,32.68996774,27.57909677,22.46829032
Sep,70,31.78766667,24.7084,17.6291
Oct,128,27.12454839,20.28970968,13.45493548
Nov,163,14.62316667,8.802866667,2.982466667
Dec,127,13.74912903,8.644580645,3.539677419
